Nama_Usaha,Alamat_Usaha,Latitude,Longitude
TAPE 82,Jl. Brigjen Pol. Sudarlan 53,,
Pangkas Rambut Galaxy ,Jln. Pakisan Dusun Lumbung RT/RW 015/005,,
PERTANIAN JAYA,jebung kidul,-7.9693898,113.923198
FARAH CATERING,RT 05 RW 01,-7.9134402,113.8222709
Jual Beli Hasil Tambang,"Desa Leprak, Kecamatan Klabang, Kabupaten Bondowoso",,
LEGATO COFEE,TLOGOSARI RT.04 RW.01 ,-7.9977997,113.9344974
DARA COMPUTER,DUSUN LUMBUNG RT/RW 004/002,,
TOKO SEMBAKO,Dusun Nasar RT. 005 RW. 002,,
TOKO BERKAH,Dusun Krajan Rt.06 Rw.02,,
TOKO KANZA,KEJAYAN RT.013 RW.003,,
BUDIDAYA IKAN SUCOMINA,Sucolor RT 18 RW 05,,
NYEMIL MANTUL,Pasar Kita Jebung Kidul,,
Sambal Cakalang Rasa Roa,cermee Rt 021 Rw 000,,
Aiko es,"Jln.RE Martadinata Gg.Patih 25/06
Dabasah",,
BENGKEL,DUSUN PANGOTAAN 02/05,,
ADEN MARKET,DESA KEMBANG RT.014 RW.005,,
UD Rasid,Sumber RT 11 RW 02 pejaten Bondowoso,-7.8953473,113.8386385
UD. HIKAM JAYA,Pakem Krajan Rt 002/001,,
Jasa reparasi barang logam/perbengkelan,Desa sempol,-8.0061837,114.1506007
"UD."" MITRA UTAMA """,Desa Sumber Gading Rt.0042/Rw.005,,
KELAPA PAK RENI,PADASAN RT 12 RW 05,,
Tegsa,"PB Sudirman 102, Rt 036/ Rw 08, Dabasah",,
Toko Sembako,Jl. Raya Tamanan RT 2 RW 1 (Utara Pasar Kreongan) ,,
PRACANGAN ,GRUJUGAN KIDUL RT.15 RW.02,,
penjual pentol keliling,selolembu 06/02 curahdami bondowoso,-7.8966014,113.7897075
Potong ayam,Jl. Raya Situbondo,-7.8868878,113.89253
UD DZUN NAJAH MUNIF,GRUJUKAN LOR RT.019 RW.006,,
UD. NUAZKHA  GARDEN,Desa Gebang Rt.01/01,,
TOKO GALAXI,DALAM PASAR MAESAN DESA GAMBANGAN KECAMATAN MAESAN,,
BAKSO BU MUNA,PEKALANGAN RT.019 RW.004,,
TERANG BULAN CAK WAFI,PADASAN RT 06 RW 03,-7.9428496,113.8795073
UD.ABD AZIS,Gadingsari Rt 14 Rw 04,-7.877319,113.7317341
,gadingsari Rt 14 Rw 04,-7.877319,113.7317341
Pedagang Pakaian,Dusun Song tengah RT 020 RW 006 Desa Karanganyar Kec. Tegalampel Kab. Bondowoso ,,
Pedagang Pakaian Keliling,Maskuning Kulon,-7.9887111,113.8935815
BAROKAH TANI,Dusun Kranang Desa Bajuran,,
"TOKO "" AGAM """,Desa Sukosari Lor RT.020 RW.009,,
pertanian,JETIS Rt 05 Rw 02,-7.9546231,113.7920144
PANDAI BESI,DUSUN KARANG TENGAH RT.12 RW.03,,
pengecer gas elpiji,dusun kampung baru 05/03 koncer darul amantenggarang bondowoso,,
Aje-Desain,"Kelurahan/Desa Pakem,
Kecamatan Pakem,
Kab/Kota Kab. Bondowoso,
Provinsi Jawa Timur.",,
BENGKEL CAT MOBIL TIGA SERANGKAI,Jl. Kopral Moerin RT.012/ RW.003,,
MUNMUN JAYA,KERANG SUKOSARI BONDOWOSO,,
Meubel,"DUSUN PANGUTAAN RT. 02 RW. 05, PAKUNIRAN, MAESAN, BONDOWOSO",,
Sablon ,Dsn. Dawuan RT/RW:004/000,,
PERDAGANGAN,JETIS RT 08 RW 03,-7.9546231,113.7920144
Tape Bondowoso 88,Sumber tengah rt 2 rw 1 binakal Bondowoso,,
UD FARHAN  SEJAHTERA,DUSUN TAHUAN RT.022 RW.005,,
MEBEL PAK RASEK,SUKOKERTO RT.011/004,,
NUR CAHYA PONDOK JERUK,pondok jeruk rt 20 / rw 06 sukorejo sumber wringin,,
,pondok jeruk rt 20 /rw 06 sukorejo sumber wringin,,
ZAIDAN JAYA,"Sulek, RT.015 RW.007",,
PENJUAL IKAN KELILING,DUSUN PARSEH RT.06 RW.04,,
Counter Pulsa dan Foto Copy,Desa mengok rt.022 rw.004 kecamatan pujer kabupaten bondowoso,,
DEHWAA,JL RAYA BESUKI,,
,JL.RAYA BESUKI,,
KULINER,JEBUNG KIDUL,-7.9693898,113.923198
cahaya intan,dusun karang malang rt10 rw02 desa tegalpasir kec jambesari DS kab Bondowoso,,
Pemotongan ayam broiler,Dusun karang malang RT. 023 RW .005 kelurahan/desa jambesari. Kecamatan jambesari darussholah,,
Pracangan,"DUSUN PANGUTAAN, PAKUNIRAN, MAESAN, BONDOWOSO",,
UD GLOBAL MOTOR,RT.001/ RW.001,,
BAROKAH ,HOS COKROMINOTO 49 RT.024 RW.004 ,,
TANI LATIF,DUSUN KRAJAN RT/RW 010/003,,
UD PESONA JEPARA,Jalan Cokroaminoto RT.002 RW.001,,
TOKO FARINA,DESA JUMPONG RT.004 RW.001,,
TOKO PAK WAFI,KASEMEK RT.015/008,,
TOKO KELONTONG,DUSUN GABUGAN RT 12 RW 3,,
BENGKEL MOBIL BAROKAH JAYA MOTOR,Desa Jebung Lor RT 015 RW 001,,
Pedagang mainan ,Jl kismangunsarkoro,,
RUMAH HAMDAN,PERUM PANCORAN MAS BLOK D-14,,
Tani makmur,Koarah Rt 01/Rw 06,,
Pertanian,Jambeanom,-7.980111,113.8466491
TOKO BERKAH,Dusun Tengginah RT 14 RW 03,,
PERTANIAN JAYA,brambang darussalam,,
TOKO SUMBER REJEKI,DESA SUMBERWRINGIN RT.005 RW.001,,
PANGKAS RAMBUT ASIS,Jl. Kis Mangun Sarkoro,,
WARUNG,DUSUN EKA PRAJA RT 09/ RW 3,,
UD. SISKA,Koncer Kidul Rt. 010 Rw. 004,,
NAY'S KITCHEN,Dusun Krajan RT. 005 RW. 002,,
TOKO ODIK LAONAN,Desa Jebung Lor RT 021 RW003,,
AZIS JAYA,Dusun Krajan RT 015 RW 001,,
MEUBEL ABDUL AZIS,Dusun Kampung Baru RT. 017 RW. 005,,
JUAL AYAM,DUSUN PECUT 38/05,,
SELEP PADI AZIS,LOJAJAR RT.010 /005,-7.9433656,113.8562459
aziz komputer,sumber salam,,
TOKO ANUGERAH AGUNG,JALAN WAHID HASYIM RUKO PASAR,,
Pertanian,Desa Jetis RT.19 RW.08,,
TERNAK,"Desa.Penanggungan,kec.maesan,kab.bondowoso,provinsi. Jawa timur",,
Asia funiture,Dusun pal16,,
TOKO GRAFFA AISI,Grujugan Lor RT. 002 RW. 001,,
TOKO PRACANGAN,JETIS RT 11 RW 6,,
Serbuk Jahe,"Koncer Darul Aman, RT08/RW04, Tenggarang, Bondowoso",,
UD DIAN PUTRI,DUSUN KRAJAN RT.007 RW.003,,
UD.NADITA,"Sumber Pandan. Rt.05/02, Kecamatan Grujugan, Kabupaten Bondowoso",,
JUAL NASI,DUSUN GUNUNG MALANG 28/07,,
BAKSO TOMI,DUSUN KRAJAN RT.001 RW.001,,
27P,JALAN RAYA DUSUN GEDANGAN RT 030/ RW 003 DESA SUGER,,
AYAM SEHAT,CURAHDAMI RT003 RW 002,,
WARUNG ABDUL,"Sulek, Rt: 010 Rw: 004",,
"PEMBIBITAN AYAM BURAS ""GANDHI""",Dusun Sraten I RT.002 RW.002,,
NURUS ,DUSUN JATIAN RT 10 RW 05,,
UD. STAR JAYA JAMUR,Jl. Pringgondani Desa Sukowono RT. 06 RW. 02 Kec. Pujer,,
PETERNAK AYAM POTONG,Dusun Sletreng Rt.03 Rw. 02 Desa Kupang,,
UD DANI PUTRA,KENANGA RT.030 RW.005,,
Toko Sembako,Dusun pejagan RT 07 RW 02,,
Kios Dian ,"Jl. Kismangunsarkoro, Tamansari RT/RW : 011/004. Kab. Bondowoso",,
PETANI,DUSUN KRAJAN RT/RW 009/003,,
Petani,Barat gunung,,
UD SASTRA JAYA,Desa Sumbersari,-8.0236895,113.7770721
"TOKO "" HADI LOTRE """,DESA PEKALANGAN RT.05/01 KEC.TENGGARANG KAB.BONDOWOSO,,
UD HADI JAYA,DUSUN  SLETRENG,,
Maju Sejahtera,Kembang RT006/RW002 jalan mastrib kembang,,
"UD. ""KERTAJAYA""",JALAN RAYA PETUNG DUSUN KRAJAN RT.003 RW.001 ,,
"UD.""KERTAJAYA""",JALAN RAYA PETUNG DUSUN KRAJAN RT.003 RW. 001 ,,
TOKO ABADI,Jl. WRINGIN,-7.8199217,113.7573145
PERACANGAN,DUSUN KARANG TENGAH RT.16 RW.03,,
"UD ""SELVIRA""",RT. 033 RW. 004 DUSUN SUMBERAYEM,,
,RT. 033 RW. 004 Dusun Sumberayem,,
BENGKEL LAS HALIK,PEKALANGAN RT.009 RW.002 ,,
UD CAHAYA MOTOR,"Tempat Usaha, Compresor, dan Lain - Lain",,
TIGA PUTRI,DUSUN ARAJA RT.02/RW.01 DESA SUCO LOR KECAMATAN MAESAN KABUPATEN BONDOWOSO,,
Penjahit HALFI,Jl.IMAM BONJOL,-7.9156615,113.830161
KAMBING SEHAT FARM,Dusun Karang Malang RT 10 RW 02,,
UD RAHMAWATI,PENANGGUNGAN,-8.0202248,113.7784156
GPM RELOAD,"DS TLOGOSARI RT 11,RW 3 KECAMATAN TLOGOSARI",,
pertanian,selolembu,-7.8966014,113.7897075
INDUSTRI SANGKAR BURUNG,DESA KEJAYAN RT 15/04,,
Perbaiki barang kayu bekas,Desa kembang RT 003/RW 001 Kec. Bondowoso Kab.Bondowoso,,
Perdagangan,Hos cokro aminoto rt024 rw004 kademangan bondowoso,,
TOKO AFAF AFIF,DUSUN GUNUNG MALANG UTARA,,
WARUNG NASI,DUSUN EKAPRAJA RT.09 RW.03,,
Hasib_Petani,Dusun Krajan,,
""" JUAL BELI KELAPA """,Desa Pecalongan RT.014 RW.004,,
Darsoub,Silolembu ,-7.8957477,113.7948265
AGEN MADU HUTAN,desa kupang Rt.04 Rw.02 Kecamatan Curahdami Kabupaten Bondowoso,,
PETERNAK MANDIRI,"DUSUN SLETRENG, Kel. Kupang, Kec. Curahdami, Kab. Bondowoso,
Prov. Jawa Timur",,
UD JALIL,DUSUN KRAJAN RT 02 RW 03,,
,DUSUN KRAJAN RT 02 RW 02,,
UD PUTRA HARAPAN,JL.KH.Asy' ari No.330,,
UD ABDUL KADIR JAILANI,SEKARPUTIH RT.020 RW.005,,
KULINER,DUSUN KOANYAR RT017 RW003 DAWUHAN GRUJUGAN BONDOWOSO,,
AN-NI'MAH TAILOR,Jl.PB. Sudirman no 54 Dabasah Bondowoso,,
MAJU MAPAN SEHAT,Jalan K.H. ASYARI 280,,
,JL K.H. ASYARI 280,,
PEDAGANG sAYUR KELILING,GRUJUGAN LOR RT.18 RW.03,,
Usaha jamur tiram,Krajan RT 013 RW 003 ,,
